Altitude,Pression,Temperature,Densite
1028.600,9.6650e-07,900.30,2.5820e-11
1028.100,9.6970e-07,900.60,2.5900e-11
1023.800,9.9530e-07,902.70,2.6530e-11
1018.300,1.0280e-06,903.50,2.7380e-11
1012.900,1.0620e-06,902.80,2.8310e-11
1007.500,1.0970e-06,901.00,2.9310e-11
1002.100,1.1330e-06,898.10,3.0380e-11
996.770,1.1710e-06,895.10,3.1490e-11
991.400,1.2100e-06,891.40,3.2680e-11
986.040,1.2500e-06,888.00,3.3900e-11
980.690,1.2920e-06,884.40,3.5180e-11
975.340,1.3350e-06,880.90,3.6510e-11
970.010,1.3800e-06,877.50,3.7880e-11
964.690,1.4260e-06,874.60,3.9290e-11
959.370,1.4740e-06,871.90,4.0750e-11
954.070,1.5240e-06,869.90,4.2230e-11
948.770,1.5750e-06,868.00,4.3750e-11
943.480,1.6280e-06,866.80,4.5300e-11
938.200,1.6830e-06,865.70,4.6900e-11
932.930,1.7400e-06,865.20,4.8520e-11
927.670,1.7990e-06,865.00,5.0170e-11
922.420,1.8590e-06,865.10,5.1860e-11
917.180,1.9220e-06,865.70,5.3570e-11
911.950,1.9860e-06,866.40,5.5330e-11
906.720,2.0520e-06,867.40,5.7120e-11
901.510,2.1210e-06,868.70,5.8950e-11
896.300,2.1910e-06,870.20,6.0810e-11
891.110,2.2640e-06,871.60,6.2740e-11
885.920,2.3390e-06,873.30,6.4690e-11
880.740,2.4160e-06,874.90,6.6710e-11
875.570,2.4950e-06,876.70,6.8770e-11
870.410,2.5770e-06,878.40,7.0890e-11
865.260,2.6610e-06,879.90,7.3080e-11
860.120,2.7470e-06,881.40,7.5340e-11
854.990,2.8360e-06,882.70,7.7670e-11
849.870,2.9270e-06,883.80,8.0090e-11
844.750,3.0220e-06,884.70,8.2600e-11
839.650,3.1190e-06,885.30,8.5210e-11
834.550,3.2190e-06,885.50,8.7920e-11
829.470,3.3220e-06,885.50,9.0760e-11
824.390,3.4280e-06,885.00,9.3720e-11
819.320,3.5370e-06,884.30,9.6810e-11
814.260,3.6500e-06,883.10,1.0000e-10
809.210,3.7670e-06,881.40,1.0350e-10
804.170,3.8870e-06,879.20,1.0700e-10
799.140,4.0110e-06,876.70,1.1080e-10
794.120,4.1400e-06,873.80,1.1470e-10
789.100,4.2730e-06,870.10,1.1900e-10
784.100,4.4100e-06,866.00,1.2340e-10
779.100,4.5530e-06,861.40,1.2810e-10
774.120,4.7010e-06,856.40,1.3300e-10
769.140,4.8540e-06,851.00,1.3830e-10
764.170,5.0130e-06,845.20,1.4380e-10
759.220,5.1780e-06,839.00,1.4970e-10
754.270,5.3500e-06,832.50,1.5590e-10
749.330,5.5290e-06,825.70,1.6240e-10
744.400,5.7150e-06,818.60,1.6940e-10
739.480,5.9080e-06,811.20,1.7670e-10
734.570,6.1100e-06,803.60,1.8450e-10
729.660,6.3200e-06,794.20,1.9320e-10
724.770,6.5400e-06,785.00,2.0230e-10
719.880,6.7700e-06,775.90,2.1190e-10
715.010,7.0110e-06,766.90,2.2210e-10
710.140,7.2630e-06,758.10,2.3270e-10
705.290,7.5260e-06,749.70,2.4390e-10
700.440,7.8020e-06,741.70,2.5570e-10
695.600,8.0900e-06,734.10,2.6790e-10
690.770,8.3920e-06,727.10,2.8070e-10
685.950,8.7070e-06,720.40,2.9400e-10
681.140,9.0370e-06,714.00,3.0790e-10
676.340,9.3810e-06,708.50,3.2230e-10
671.550,9.7410e-06,703.30,3.3730e-10
666.770,1.0120e-05,698.60,3.5280e-10
661.990,1.0510e-05,694.30,3.6890e-10
657.230,1.0920e-05,690.50,3.8550e-10
652.470,1.1350e-05,687.10,4.0270e-10
647.730,1.1790e-05,684.20,4.2040e-10
642.990,1.2260e-05,681.60,4.3870e-10
638.260,1.2740e-05,679.50,4.5760e-10
